donor_state,acceptor_state,mean_signed_transfer,std_signed_transfer,mean_positive_transfer,mean_absolute_transfer
1,1,-0.0029778644437479748,0.04564262969613101,0.07944610816957984,0.1618700807829077
1,2,0.053819094051189856,0.05149742864542355,0.18340067758027379,0.31298226110935773
1,3,0.07286081271354367,0.1844362471846493,0.1855300690322927,0.29819932535104166
2,1,0.02967537620324781,0.07816092754848163,0.2739028682179946,0.5181303602327412
2,2,-0.03654363364755862,0.06342087558347213,0.08403784921234862,0.20461933207225588
2,3,0.041704444242387645,0.06980304161896285,0.21665770984105262,0.3916109754397176
3,1,0.021267834003348716,0.030387301569734113,0.14532580371968742,0.26938377343602626
3,2,0.04978981331448541,0.0858702521108927,0.1646153431722805,0.2794408730300755
3,3,-0.0030406283476734435,0.07870463754389663,0.09792492597771947,0.19889048030311246
4,1,0.0065996908827962416,0.039558155139403715,0.09233814032408093,0.17807658976536564
4,2,-0.0007076969217024188,0.027345177372838335,0.134268496056809,0.26924468903532034
4,3,0.012456196138774267,0.038980442627852274,0.13946022747743375,0.2664642588160933
